type,authors,title,venue,volume,issue,pages,year,publisher,editors,doi_url,source_code,template
"CP","M. H. Poursaeidi, M. Samorani, O. E. Kundakcioglu","Offshore wind farm layout optimization: What is the hype?","Proceedings of the Industrial and Systems Engineering Research Conference, ID: 952","","","","2013","","","","","conference"
"CP","A. Viacaba, M. H. Poursaeidi, O. E. Kundakcioglu","Natural gas price forecasting via selective support vector regression","Proceedings of the Industrial and Systems Engineering Research Conference, ID: 645","","","","2012","","","","","conference"
"CP","O. E. Kundakcioglu, P. M. Pardalos","The complexity of feature selection for consistent biclustering","Clustering Challenges in Biological Networks","","","257-266","2009","World Scientific","W. A. Chaovalitwongse, S. Butenko, P. M. Pardalos","","","book_chapter"
"CP","O. E. Kundakcioglu, P. M. Pardalos","Optimization in biomedical research","Lectures on Global Optimization, Fields Institute Communications Series, vol. 55","55","","155-182","2009","American Mathematical Society","P. M. Pardalos, T. F. Coleman","","","book_chapter_fields"
"CP","O. E. Kundakcioglu, S. Alizamir","Generalized assignment problem","Encyclopedia of Optimization, second edition","","","1153-1162","2009","Springer","C. A. Floudas, P. M. Pardalos","","","book_chapter"
"CP","O. Seref, O. E. Kundakcioglu, M. Bewernitz","Support vector machines in neuroscience","Encyclopedia of Healthcare Information Systems","","","1283-1293","2008","IDEA Group Inc.","N. Wickramasinghe, E. Geisler","","","book_chapter"
"CP","O. Seref, O. E. Kundakcioglu","Multiple instance classification with relaxed support vector machines","Proceedings of the 3rd INFORMS Workshop on Data Mining and Health Informatics","","","","2008","","J. Li, D. Aleman, R. Sikora","","","conference"
"CP","O. E. Kundakcioglu, P. M. Pardalos","A branch and bound algorithm for multiple instance classification","Proceedings of the 2008 International Conference on Machine Learning; Models, Technologies and Applications (MLMTA)","2","","865-869","2008","","H. R. Arabnia, Y. Mun","","","conference"
"CP","O. Seref, O. E. Kundakcioglu, P. M. Pardalos","Selective linear and nonlinear classification","Data Mining and Mathematical Programming, CRM Proceedings and Lecture Notes, vol. 45","45","","211-234","2008","American Mathematical Society","P. M. Pardalos, P. Hansen","","","in_book"
"CP","O. Seref, C. Cifarelli, O. E. Kundakcioglu, P. M. Pardalos, M. Ding","Detecting categorical discrimination in a visuomotor task using selective support vector machines","Proceedings of the 2007 International Conference on Bioinformatics & Computational Biology (BIOCOMP)","2","","580-587","2007","","H. R. Arabnia, M. Q. Yang, J. Y. Yang","","","conference"
"CP","O. E. Kundakcioglu, K. Bulbul, T. Ünlüyurt, K. Kilic, O. Ercetin","Minimum power multicasting with delay bound constraints in ad hoc wireless networks","New Trends in Computer Networks, ser. Advances in Computer Science and Engineering: Reports","","","252-263","2005","Imperial College Press","","","","conference_book"
"EB","H. Yang, O. E. Kundakcioglu, D. Zeng","Healthcare data analytics","Information Systems and e-Business Management","13","4","595-597","2015","","","","","journal_article"
"EB","H. Yang, O. E. Kundakcioglu","Healthcare intelligence: Turning data into knowledge","IEEE Intelligent Systems, Trends & Controversies","29","3","54-56","2014","","","","","journal_article"
"EB","H. Yang, D. Zeng, O. E. Kundakcioglu","Proceedings of the 7th INFORMS Workshop on Data Mining and Health Informatics","INFORMS Workshop on Data Mining and Health Informatics","","","","2012","","H. Yang, D. Zeng, O. E. Kundakcioglu","","","edited_proceedings"
"EB","O. E. Kundakcioglu, T. Ünlüyurt, G. Ulusoy","Preface","Optimization Letters","6","6","1035-1037","2012","","","","","journal_article"
"EB","O. E. Kundakcioglu, M. Sanguineti, T. B. Trafalis","Guest editorial","Computational Management Science","6","1","1-3","2009","","","","","journal_article"
"EB","O. Seref, O. E. Kundakcioglu, P. M. Pardalos","Data mining, systems analysis, and optimization in biomedicine","AIP Conference Proceedings, no. 953","","953","","2008","American Institute of Physics","O. Seref, O. E. Kundakcioglu, P. M. Pardalos","","","edited_volume"
